title,release year,genre,key words,plot,run time /min,number of votes,rating
Michael Jackson,2009,Documentary,pop-singer|singer,"Michael Jackson was the biggest star in the history of music, but he also fought a life-long battle against his own inner demons. This is the secret story of a true modern hero. Join Michael Jackson as he tirelessly tours the globe working on behalf of his favourite charities and good causes. We hear from Elizabeth Taylor who stood by Michael during his darkest hours. In England we go backstage as Michael meets Princess Diana and Prince Charles. In South Africa Michael comes face to face with his idol - Nelson Mandela. We also hear from La Toya Jackson, Janet Jackson and BeyoncÃ Knowles. See Michael speak out against exploitation, racism, war and oppression as he fights for the rights of under-privileged children everywhere. This is the real Michael Jackson - the untold story of a noble champion overcoming his own adversity in his life-long quest to heal the world. THE COMPANION BOOKLET This is the definitive story of the trials and tribulations of Michael Jackson. The book starts with his early childhood and continues with his meteoric rise from backing singer to solo artist. It looks at Michaelâ&#x20AC;s later life including his child abuse trial in 2005, his tragic death, the memorial service and the reaction of the celebrity world to his sad passing. This unaligned and autonomous film and booklet is unauthorised. It was made with complete editorial freedom and has not been vetted or approved by Michael Jacksonâ&#x20AC;s estate.",105,30,8.3
Dreams Come True: A Celebration of Disney Animation,2009,Documentary|Animation,documentary-style|2d-animation,"A look back at 75 years of Disney magic on the silver screen and a look ahead to the all-new animated adventure comedy, ""The Princess and the Frog."" Host Vanessa Williams is joined by some of the brightest stars of television, movies, music and sports, who share their favorite memories of Disney animation.",60,30,7.2
Barbosa,2009,Drama,father-son-relationship|party|extortion|cat|bully,"Robbie, a divorced Amsterdam commoner, is meanly denied access to his son Tommi, except for monthly visitation. He grudgingly accepts when a loan shark offers to scrap his debt and throw in some cash for a simple service. Robbie must simply trick Marius, a man he never knew, to the port for a fictitious job. As he gets to know Marius, he starts feeling for the generous sociable type. His conscience wants him to warn the mark he's likely to be beaten up.",36,30,7.4
The Farmer and the Stewardess,2009,Comedy|Romance,bare-butt|bare-chested-male|bed|boxer-shorts|dinner|kissing|diving|loyalty|undressing|sex-scene|chores|male-rear-nudity|bathing-scene|overalls,"Stuttgart law form senior partner Max von Holbach plans to retire in favor of daughter Elisabeth and her fiancee Daniel Kerner , both careerists. First she must pull off for Max's mate's major Black Forrest touristic real estate project the sale of destitute, yet unwilling farmer Karl Lindner's homestead. Semi-accidentally posing, with a broken-down car, as ZU researcher, she gets invited on the farm, gets on well with the family, finds out -while helping with field and barn chores- his parents whose life work he feels he must carry on want out anyhow, and the pair falls in love. * Having found out about his outstanding debt, she had the weapon the enforce foreclosure, but hesitates to break his dreams, even questions her own future in the urban rate race.",88,30,3.8
Going Postal,2009,Documentary,youth-violence|workplace|school-violence|school-shooting|school-killings|killing-spree|gun|going-postal|columbine|columbine-high-school-killings|bible-belt,"A look at the modern phenomenon of school and work shootings. It looks at the cases of Michael Carneal (1997), Joseph Wesbecker (1989), Charles Andrew Williams (2001, Neal Higdon (2008, and Steven Kazmierczak (2008) all of whom snapped and went postal.",90,30,6.3
Elf Pets: Santa's St. Bernards Save Christmas,2018,Animation|Fantasy,st.-bernard|christmas-special|santa-claus,"What happens when an entire town forgets the true spirit of the Christmas season? In this festive tale, Santa discovers there is not enough Christmas spirit for him to make Christmas magical. Thankfully, The Elf on the Shelf® Scout Elves, a slew of St. Bernard pups and a big-hearted family join forces to change their community for the better and ensure Santa's yuletide missions always succeed.",26,29,5.3
Murder on Omaha Beach,2018,Crime|Drama|Thriller,france|normandy-france|omaha-beach|criminal-investigation|police-captain|historian|former-gi|world-war-two|mayor|riding-horse,"Captain Eloïse Gentil, of Caen police, hasn't been on speaking terms with her father Robert, an expert on WWII, for twenty years. But the two are brought together to investigate the death of James Crawley, a 91 year-old former GI, found tied to a pole and in his uniform, apparently executed ""as an example"".",90,29,6.2
A New Life,2018,Comedy|Drama,separation|young-woman|female-nudity|topless-female-nudity|sex-scene|older-man-younger-woman,"Marion does not love her husband anymore. She decides to leave him to live fully, not to be locked in the reassuring comfort of a family life. Dominique lives with his wife an identical situation but he can not take the plunge.",96,29,7.2
Murders in Valenciennes,2018,Crime|Drama|Mystery,france|north-of-france|criminal-investigation|gendarmerie|police-officer|tragedy|mine-explosion|brother-brother-relationship|miner|death-of-father,"A man is found hanged after being brutally attacked. Two brothers, one a local cop, the other a military policeman, have to work together. Fifteen years earlier, their father was killed in a tragic accident that killed fourteen workers.",101,29,6.0
Rubens: An Extra Large Story,2014,Biography,fine-art|art-history,"These days, nobody takes Rubens seriously. His vast and grandiose canvases, stuffed with wobbly mounds of female flesh, have little appeal for the modern gym-subscriber. Everything is too big: the epic dramas, the fantastical celestial scenery, the immense canvases. In the eyes of British host Waldemar Januszczak, Rubens has been tragically reduced by modern tastes and completely misunderstood.",59,29,8.1
Russia 1917: Countdown to Revolution,2017,Documentary|Drama|History,reenactment,"In February 1917, Nicolas Ii abdicated as Tsar of All the Russias. By October, Lenin, Trotsky and Stalin have seized control. Was the Russian Revolution really a popular uprising? Or merely a stunning coup d'etat?",60,29,6.1
Ein Sommer in Prag,2017,Romance,paternity|scolding|dancing|father-figure|boy|dog,"In Prague lives robot inventor Richard, with his creation Felix and a neighbor boy as surrogate sons. He's unaware that an innovation convention organized by her close friend Jannick brought into town psychologist Dr. Katrin Gutmann to present to professionals her App prototype, or that she raised his daughter Jana since they got split up years ago, her pregnancy wasn't revealed. Katrin lost contact with Jana months ago after confiding the late Tobias, who raised her as devoted father, biologically wasn't. Jana independently came to Prague with a Czech street dance partner to search for her father. They'll find out how the nuclear family was separated by the Iron Curtain before Jana's birth.",90,29,5.4
The Cult Next Door,2017,Documentary,cult|brixton|captivity|collective|brainwashing|social-experiment|london-england|maoism|communism|left-wing-politics|space-shuttle-challenger|pizza-delivery-boy|talk-to-an-inanimate-object|natural-disaster|beating|mind-control|deprivation|cult-leader|arrest|freedom,"The extraordinary story of the Maoist cult that came to light when 3 women emerged from a small flat in Brixton, South London in 2013. A tiny political sect formed in the 1970s had turned into a bizarre religious cult.",60,29,6.3
Roy Orbison: One of the Lonely Ones,2015,Documentary|Biography|Music,balladeer|roy-orbison|documentary-subject's-name-in-title|retrospective|1960s|seven-word-title|reference-to-van-halen|reference-to-linda-ronstadt|pop-music|pop-song|archive-footage|sunglasses|songwriter|ballad|wearing-sunglasses-inside|male-singer|60s-music|50s-music|reference-to-elvis-presley|singer-songwriter|texan|number-in-title,"Biography of iconic rock balladeer Roy Orbison, told through his own words.",59,29,7.5
I Love Lucy Christmas Special,2015,Comedy,christmas,The couple looks back on how their lives have changed 5 years after little Ricky was born.,45,29,8.0
Ein Geheimnis im Dorf - Schwester und Bruder,2016,Drama,secret|celebrity-chef|restaurant|mayor|brother-sister-relationship|female-mayor,"Two villages are put together under one administration, and Irene becomes the new mayor. Not everybody is happy with the way she runs the place. When a celebrity chef wants to open a new restaurant in town, and Irene's brother is set to become an apprentice in his kitchen, Irene opposes the plans. It soon becomes evident that there are secrets in the past of brother and sister.",90,29,6.3
Ein Sommer in Masuren,2015,Comedy,frankfurt-germany|poland|masuria-poland|asperger-syndrome|inheritance|gossip|party|falling-in-love|understanding|financial-problems|nurse|overalls|love|degenerative-disease|boy|girl|death-of-father|title-directed-by-female,"A German woman from Franckfurt has been fired from her job in the bank when she receives news about her father's death. After that, she's informed she's the heiress of some land located in Masuria, Poland where her father spent three weeks at his nurse's home. She has to travel there in order to resolve her financial problems when she meets a Polish farmer who happens to be that nurse's brother.",89,29,6.1
Antigone at the Barbican,2015,Drama,greek-tragedy|stage-performance,"A continuation from 'Oedipus at Colonnus', it follows Antigone, the daughter of Oedipus wishing to bury her dead brother, yet is stopped by her uncle Kreon.",90,29,7.3
Rose and the Soldier,2015,Drama|History,naval-uniform|caribbean-island|martinique|french-navy|world-war-two|loosely-based-on-real-events,"1942. In Martinique facing starvation, Rose, a young teacher sacked by the Vichy regime, keeps house for a wounded German officer. She plans to spy and help the resistance but is torn between her beliefs and her love for a French soldier.",95,29,5.7
Entre vents et marées,2014,Crime|Drama|Thriller,bath|breast|brief-female-nudity,"In Brittany, a notary is killed with shots to the head. His wife Joséphine is a suspect. Her husband had just sold part of their property to two shady real estate developers who wanted to transform the little fishing village into an ultra-modern marina for wealthy clients.",174,29,5.1
Le premier été,2014,Comedy|Drama|Mystery,f-rated|skinny-dipping|nudity|male-rear-nudity|male-nudity|male-frontal-nudity|bare-chested-male|male-full-frontal-nudity|summer|triple-f-rated|pubic-hair|male-pubic-hair|lake,Two sisters meet up late one summer to clear out the house of their deceased grandparents.,91,29,6.3
Katie Fforde: Vergissmeinnicht,2015,Drama,paternity|therapy|medical-examination,"Young New York medical researcher Natalie Wayne hopes to present a crucial genetic research paper under professor Seibert's direction. Then she's called away to help her accident-disabled father Daniel Wayne, the only MD in a sleepy coastal town. While it becomes clear his problems are worse and affect his patient care, she falls in love with hunky local Mathew Bradford and the charms of the town.",88,29,5.8
Ketamine,2014,Drama,nightclub|male-bonding|ritual|drinking|therapy|brother-brother-relationship|beating|dog,"Two fatherless brothers settle in useless mother's birth town 'for a holiday' after her last-willed funeral, which costs the entire inheritance. Sensitive Vincent (21) is dragged into elder brother Sjoerd (26)'s nihilistic lifestyle, including gambling and drug abuse. *How much love is found between the brothers, kin and life itself? $ Guinea pig",49,29,7.3
Carnal Awakenings,2013,Drama,bare-breasts|sex-scene|female-full-rear-nudity|erotic|female-full-frontal-nudity|large-breasts|shaved-labia|imitating-a-blow-job|cunnilingus|female-pubic-hair|doggystyle-sex|softcore|male-nudity|female-nudity|outdoor-sex,A young couple becomes involved with a sexy new stranger in this steamy adult thriller.,70,29,6.1
Emilie Richards - Entscheidung des Herzens,2011,Romance,public-nudity|topless-female-nudity|female-nudity|abuse|swimwear|sheep|diving|lamb|lake|funfair|towel|father-figure|beach|bare-chested-male,"A New Zealand family farm is struggling for survival while mega-landowner Williams wants to buy it. Still, astray sister Casey is welcomed home without much questions, even over 8 year-old boy Tommy, whom former lover John, a prosecutor's office office, suspects may be their son, but isn't even hers. A defrocked priest, who broke the confessional secret, is also employed.",89,29,5.8
Hopfensommer,2011,Drama,bathing-scene|diving|undressing|towel|father-son-relationship|jealousy|public-nudity|dinner|dancing|abuse|bare-butt,"Karl Singhammer left his Bavarian home village and future as hop farm heir for a Munich brewery executive job after a biter row with his father Joseph 'Sepp', who blindly blamed the then knave for 'failing to prevent' his careless kid sister drowning. Karl responds to his mother Franziska's plea to come save the harvest after Sepp's cardiac attack. Thus he meets again neighbor and youth girlfriend Leni, who can't hang on to her small hop farm alone. Saving clueless kid brat Marie from drowning, he bumps into her single mother Sophie Kreilinger, a one night stand who fascinates and confuses him, being an 'exotic dancer' and sanctimonious liar, who also renders Leni viciously jealous. Father releases himself from hospital to prevent Karl taking the reins, but agrees there can be only one captain and it's time to pass the helm, yet mother insists that requires a farmer's wife.",89,29,5.2
Marie Brand und die Dame im Spiel,2011,Crime,bath|wheelchair|pool|footsie|topless-female-nudity|female-nudity,"""The Lady in the Game"" - Marie and Juergen investigate the death of a young woman found at a truck stop. Their investigation leads them into the world of competitive chess and prostitution.",90,29,6.6
Isabella Rossellini - Aus dem Leben eines Schmetterlings,2010,Documentary,cohabitation|interview|modeling|sexuality|science|acting|director|marriage|island|garden|directing|archive-footage|film-director|bare-breasts|full-frontal-nudity|menopause|aging|perfume|fashion|model|mother-daughter-relationship|father-daughter-relationship|famous-person|autobiography,"In a series of interviews, Isabella Rossellini talks about her life, with reflections on her father, marriage, modeling and acting, the professional consequences of getting older, being a director, translating interest in science and gardening into film, and sexuality. The interviews take place at Pompeii, her apartment in New York, a Paris hotel where she lived as a child, Swedish waters near her mother's private island, the home of Jean-Luc Godard, and her garden. The narration includes clips from her ""Green Porno"" series, ""Blue Velvet,"" and her modeling career. She emerges as reflective, humorous, and down to earth.",56,29,6.8
"Liebling, weck die Hühner auf",2009,Comedy,adolescent|bare-chested-male|dancing|father-son-relationship|drinking|embarrassment|contraband|scolding|towel|undressing|diving|chores|counterfeit|bathing-scene,"Author Steffen Teuffel moved from Berlin to sleepy, 'dying' Brandenburg (ex-GDR) small town Krummenwalde with his career bitch wife Beate, who runs the local beverages firm, and their kids. Smart son Kai opted out of college and happily works in the only pub, shallow sister Lisa lets a classmate obsess their with loosing her virginity to farm boys. Kid sister Sophie attracts attention with other kids by waving a cold coin she found diving in the town lake, but Lutheran vicar Juchem, who needs to pay for a new church roof, snaps it up and enlists Steffen's research skills plus knowledge of French to help him and bossy mayor Gerd Jänicke, who wants to revitalize the town, research the local archives concerning a legend about a Napoleonic regimental treasure being lost I that very lake the golden Napoléon came from and split if three ways. Each seeks still exclusive finds, sneaking and attempting to divert everyone else. Steffen needs his third to pay for the local vineyard, having cashed all his collateral can cover, but finds the vines affected by vermin, which Kai claims he can control biologically. Beate welcomes a visit from her once ex, Lorenz Thiel, now state official for protection of monuments and confiscation of artistic finds, yet after some twists, all Krummenwalde benefits surprisingly.",89,29,5.6
Dancing Forever,2010,Comedy,1960s-paris|1960s|paris|based-on-true-story,"Paris at the end of the 60's. Raised by her Breton single mother in a white family and area, Maya, a mulatto girl goes to find the other part of her story and history.",97,29,7.3
Disparition inquiétante,2019,Crime|Drama|Mystery,france|public-relations|strasbourg-france|criminal-investigation|commissioner|prosecutor|kidnapping|school-child|murder-of-a-woman|professor|guide|primary-school|reference-to-martin-luther|pastor|cell-phone|cyber-attack|armenian|flautist|neck-breaking|accomplice|psychiatrist|former-lover|diabetic-patient|domestic-violence|insulin|fortification|maginot-line|panic|nervousness|security-guard|minibus|brain-damage|two-brothers|facial-composite|adoptive-son|accident|escape|mother|children's-play|drugged-beverage|mistrust|good-and-evil|alsace|problem-student,"Maya Rosetti, a young commissioner, is in charge of the search of 9 children of a protestant school who have been sequestered and of the investigation of the murder of their professor.",90,28,5.6
Two Soldiers,2017,Drama,naples,"The three young people react differently to the same challenges of survival, each on a different front line where everyone is a soldier. Things change, however, when fate brings Maria and Salvatore together.",94,28,6.0
Deep Ocean: The Lost World of the Pacific,2015,Documentary,ocean,The same submarine which successfully captured the world.,58,28,7.3
Murders in Savoie,2017,Crime|Drama|Mystery,werewolf,"The peaceful resort of Meribel is about to open for the ski season when a man's body is discovered at the top of a chairlift, covered in wolf skin. Clara and George Kessler, the father-and-daughter detective team leading the inquiry, are certain the crime is connected to the war being waged between livestock farmers and environmentalists ever since wolves were reintroduced into the valley. Among locals, far-fetched theories are stirring panic-could a werewolf be terrorizing the valley? For the Kesslers, the murder will uncover a secret that may not be supernatural, but is just as shocking.",96,28,5.4
Brockmire,2016,Comedy,character-name-as-title|surname-as-title,"After the painful discovery of his wife's serial infidelity, famed Kansas City baseball announcer Jim Brockmire (Hank Azaria) endures an embarrassingly public downfall. He reboots his career when he lands a job calling games for the minor league Morristown Frackers and reignites his love life when he falls for the team's owner (Amanda Peet).",120,28,8.5
Hollywood Hearts,2016,Drama,hearts|hollywood,A music artist struggles to balance the superstar lifestyle of his career with the romantic he's slowly destroying.,118,28,7.6
666: Teen Warlock,2016,Comedy,demon|death|warlock|magic|cgi|homosexual-subtext|gay-interest|bare-chested-male,A witch informs a teen that he'll become a warlock on his 18th birthday.,78,28,3.6
Der Verlust,2015,Drama,hamburg-germany|guide|writer|accident|aphasia|policemen|cerebral-hemorrhage|phone-call|lover|curiosity|hospital|sister-in-law|brother-brother-relationship|rehabilitation|family-company|escape-from-hospital|dialogue|cell-phone|weakness|complicated-relationship,"When her friend Uli has an aneurysm, Nora finds his cell phone and realizes that there is another woman in his life.",90,28,5.9
Fall of Japan: In Color,2015,Documentary,pacific-war|archive-footage|world-war-two,William courtenay's color film of the pacific campain and japans downfall,46,28,7.4
Lusitania: 18 Minutes That Changed the World,2015,Documentary|History|War,death|lusitania|u-boat|ocean-liner|produced-by-director|what-happened-to-epilogue|reference-to-woodrow-wilson|war-diary|maritime-disaster|sinking-ship|lifeboat|torpedoed-ship|reference-to-james-m.-barrie|year-1915|reference-to-peter-pan|reenactment|cgi|passenger-ship|1910s|world-war-one|ship|torpedoed|number-in-title,"Lusitania: an ocean liner to rival Titanic. On May 7th 1915 11 miles off the Old Head of Kinsale she was struck by a single torpedo from a German U-boat. 18 minutes later she was gone: a death toll of nearly 1200. Who will live and who will die, as the political shockwave is felt around the world?",49,28,7.1
Katie Fforde: Eine Liebe in New York,2014,Drama,adolescent|bare-chested-male|bed|beach|dinner|medical-examination|fall|scolding|bloody-nose|therapy|swimwear,"Young adult orphan comic-illustrator Steve Ashburn's life-threatening disease requires super rare ""Bombay"" blood type. When his only New York donor bails out, his obsessively devoted big sister, Wall Street broker Jessica Ashburn, finds out it's illegal Colombian Alejandro, and bribes him to resume donating if she helps him avoid deportation, which proves possible only by fake marriage. Hedonistic Alejandro infuriates her, but immigration is on the case, and overprotected Steven soon takes to him like a cool big brother. Jessica's fiance and superior, Paul Heiser, wants Alejandro deported, needing marital witnessing protection as Jessica's spouse to cover up his illegal deals. Alejandro handles the officials brilliantly, even after Jessica throws him out, and takes Steve back into 'knavish life', even 'medicinal' weed, which alas leads to a scary fall. Jessica is last to appreciate him truly.",89,28,5.7
MAMMON - Per Anhalter durch das Geldsystem,2015,Documentary|Comedy|History,hitchhiker's-guide|journey|sociology|philosophy|behavioral-economics|stock-market|debt|financial-system|economy|money,"The documentary film ""MONEY - A confused user's guide"" is a entertaining and witty journey through space and time, to bring back the faith in money, which seems to reign the world and to balance out the workings of our old financial system and challenge the new opportunities.",90,28,5.7
Mighty Mighty Monsters in Halloween Havoc,2013,Animation|Horror,horror-for-children|halloween,"SPECIAL 1: ""HALLOWEEN HAVOC"" Botching a bully prank on devils night, Frankie, Vlad and Gunnar get expelled from monster school and plunge into a crash course in human immersion. Arriving at James A. Meredith middle school on Halloween day they accept their first assignment from Dr. Shcherbatova, the boys come up with the idea to win the Halloween costume contest. Frankie, the big contest winner buys into his own hype and goes full human, abandoning his bros to the merciless hands of the human kids who capture Vlad and Gunnar and prepare them for some after school hazing. Will Frankie go full human and sell out his monster bros? Will human school be their new school?",44,28,7.3
Secret Access: UFOs on the Record,2011,Documentary,rendlesham-forest-ufo-incident|eyewitness-account|air-force-colonel|government-coverup|air-force-base|united-states-air-force|unidentified-flying-object-sighting|f-rated|eyewitness|unidentified-flying-object|abbreviation-in-title|evidence|cover-up|close-encounter|rendlesham-forest,"Good documentary using good witnesses and solid research material, certainly makes you wonder what governments really know about this phenomenon.",88,28,7.3
Brendan Smyth: Betrayal of Trust,2011,Drama,priest|northern-ireland|child-abuse,Dramatisation of the events surrounding the case of abusive priest Father Brendan Smyth.,59,28,6.6
Petite fille,2010,Drama,f-rated|title-directed-by-female,"Sylvie Neige is 35. An only child, she lives and works on her parents' farm. The only entertainment she allows herself is a drama class held in the next village. There she meets Gabriel, a seductive city dweller who invites her to stay with him for a weekend.",90,28,7.1
Un cane per due,2010,Comedy|Family,puppy|nephew|bank|crisis|dog,An old homeless man is saved by his faithful dog.,93,28,7.3
Secret Lives,2010,Drama,female-full-frontal-nudity|shaved-labia|limp-penis|simulated-blow-job|sex-in-shower|sex-scene|big-breasts|imitating-a-blow-job|cunnilingus|female-pubic-hair|lesbian-sex|doggystyle-sex|male-nudity|softcore,"A new Assistant D.A., Kenzie is forced to keep secrets from her gorgeous detective boyfriend, Mick. When a beautiful model turns up dead, she takes charge of the case. But when her detective sweetheart starts asking questions, she is thrust into a dilemma: have a sexy romance or solve a murder? Will passion lead her astray or will she bring her friends killer to justice? They both have to navigate this conflict of interest or risk losing her job.",78,28,5.0
Just Think of Us Both,2010,Drama,new-zealand|architect|female-colleague|jealousy|teacher|waitress|party|grandmother|guardianship|happiness|nephew|niece|caretaker|new-love|orphans,"The architect Ryan is raising alone his nephew and his two nieces after the dead of this sister.In a feast he meets with Stacey, a teacher who works as waitress, who feels well with the three children.",89,28,5.5
The Boy Who Came Back from Heaven,2010,Documentary,scam|con-artist|hoax|liar,The plan is to find out the truth of what heaven is all about.,50,28,4.3
Sexually Insatiable,2009,Drama,sex|one-male-two-females-threesome|shaved-vagina|female-full-rear-nudity|simulated-blow-job|doggystyle-sex|cunnilingus|erotic|softcore|female-nudity|male-nudity,"Three women make a pact to experience as much uncommitted sex as possible, but when one of them falls for the guy next door, the others stick to their agreement and seduce their friend's new love.",80,28,6.0
Deborah 13: Servant of God,2009,Documentary,belief|christian|girl|13-year-old|reference-to-the-ten-commandments|2000s|bible-quote|reference-to-god|five-word-title|age-in-title|documentary-subject's-name-in-title|teenager|christian-teen|british-youth|christian-fundamentalism|loud-music|dancing|reference-to-the-beatles|nightclub|fear-of-hell|party|shopping-mall|driving|car|derbyshire|bus|puppet|puppet-show|creationism|bible|bible-study|prayer|saying-grace|belief-in-heaven|evangelism|proselytizing|belief-in-the-afterlife|evangelical|evangelical-christianity|patriarchy|home-schooling|farmhouse|visit|brother-sister-relationship|reading-to-a-child|reading-aloud|dorset|religious-fundamentalism|religious-fundamentalist|faith|indoctrination|fundamentalism|reference-to-britney-spears|reference-to-victoria-beckham|shopping|children|interview|family-relationships|christianity|large-family|belief-in-hell|belief-in-god|religion|teenage-girl|number-in-title,"Unlike other British teens, 13-year-old Deborah Drapper has never heard of Britney Spears or Victoria Beckham. She has been brought up in a deeply Christian family and her parents have tried to make sure she and her ten brothers and sisters have grown up protected from the sins of the outside world. Deborah is a bright, confident girl who has big ambitions for her life and the film spends a summer with her as she ventures out in the world to see what life outside her family could be and starts putting her beliefs forward to a wider audience.",60,28,6.4
The (718),2010,Comedy|Drama,new-york-city|gay|brooklyn-new-york-city|magical-realism|dark-comedy|cable-tv,"With humility and heartbreaking hilarity, 'the(718)' presents the misadventures of beer-drinking, football-watching, awkward homosexual Stephen and his two straight best friends (as well as his beat poet conscience) as they navigate life and love in New York City's County of Kings. With a little less shoe talk than 'Sex & The City' (but a lot more testosterone), it's a clever and sexy portrait of Brooklyn's three most (in)eligible bachelors brimming with all of the insecurity, bravado and dependency that they would prefer to keep secret.",22,28,9.4
Eine Liebe in Venedig,2009,Drama,hamburg-germany|venice-italy|husband-wife-relationship|surprise|birthday|disappeared-person|guide|art-restoration|illegitimate-child|dancing|italian-cuisine|secretary|infidelity|deception|sadness|hotel-porter|girlfriend|wedding-ring|monastery|second-chance|palace|first-kiss|new-love|place-name-in-title|kitsch,"Stefan, the husband of Nina has to go to Venice for business(he is shipbuilder).Nina decides to travel to Venice to give a surprise to Stefan for his birthday.She arrives at the hotel (where usually Stefan stays) and asks for him: the desk employee tells her that they don't have any guest with this name.She reserves a room, but 30 minutes there is no reservation.A young man speaks to the desk employee and all is now well.Later she travels by boat to Certosa, a place where Stefan sells boats but no of Stefan.She comes back to Venice ,but gets lost.Then she meets again with the young man who helped her in the hotel (Tom).He proposes her a date for visiting a monastery (San Francesco) then the workshop where Tom makes restoration works.Back in the center Nina sees Stefan and tries to follow him,but she can not catch him.Then she explains Tom that she is married and looking for her husband who has disappeared mysteriously.",88,28,4.8
U2 at the BBC,2017,Documentary|Music,behind-the-scenes|musical-performance,"U2 perform at Abbey Road Studios and talk to Cat Deeley about their career, and a behind-the-scenes look at U2's 'The Joshua Tree' tour in Brazil.",60,27,7.0
The meat lobby: big business against health?,2016,Documentary,meat|lobbying|cancer,"How come ham is pink? Why do we believe that it is good for our children? Why are product labels beyond understanding? Industrial giants are able to stall and orientate policy decisions that directly affect public health. No tactics seem too extreme. The industry targets politicians and researchers alike, not hesitating to even bribe scientists in an effort to protect their interests. When money is not good enough an incentive, they adopt a more brutal approach. Scientists are manipulated and discredited. Their crime: monitoring studies that underline the health risks of a particular product for the consumer.",53,27,6.2
Venus im vierten Haus,2018,Comedy,adultery|boxer-shorts|fall|embarrassment|diving|public-humiliation|sabotage|ritual|fire|chores|swimwear|bathing-scene,"Having neglected her husband Robert Holzer so as to cause a fight divorce and his second wedding, to adult son Jonas's horror even refusing to attend their double wedding together, aging Munich publishing house proofreader in his firm Gitti Kronlechner follows her horoscope's advice to join a survival camp, utterly unprepared. Robert and Jonas consult mediator Dr. Bechtelle, in vain. Gittis single buddies since years Pia und Ulrike, fall in love, asthmatic Gitti feels her avoiding risk brought no passion, love or romance, just boredom. She takes romantically-occupied canceling friend Ulrike's place in a ""Wildnis Survival Extrem Camp"". It's a hellish test physically, and a terrible nuisance to the other participants, except one who bonds with her, while the experience has stimulating effects.",90,27,6.1
9/11: Fifteen Years Later,2016,Documentary,fire|terrorist-attack|firefighter|year-2001|world-trade-center,The seminal documentary 9/11 (2002) by the Naudet brothers is revisited 15 years later.,105,27,9.1
Hausbau mit Hindernissen,2017,Comedy,overalls,House building with obstacles.,90,27,6.5
Witness Protection,2017,Thriller,pacific-northwest|watch|hitman|witness|witness-protection,"A mother and daughter are in a witness protection program and relocated to a quiet remote town . The criminal in prison, who they are linked to by the conviction, arranges a ruthless man to hunt them down and kill them .",92,27,5.6
Malaysia 370: The Plane That Vanished,2014,Documentary,missing-airplane|boeing-777|malaysia-airlines-flight-mh370,"An investigation into Malaysian Airlines Flight 370 that disappeared on March 8, 2014, with 239 people on board.",46,27,6.6
Passionate Intentions,2015,Drama|Romance,sex-scene|married-couple|two-word-title|caucasian|kiss|softcore,A happily married couple falls prey to the devious schemes of a greedy seductress and her sleazy boyfriend.,95,27,5.3
Gunpowder 5/11: The Greatest Terror Plot,2014,Documentary|Crime|Drama|History,docudrama|gunpowder-plot|date-in-title|year-1605|1600s|17th-century|murder-plot|british-royalty|catholicism|murder-conspiracy|king-of-england|slash-in-title|reenactment|british-history|letter|confession|interrogation|betrayal|treason|secret-meeting|horse-riding|expert|historical|castle|plot,The gunpowder plot analysed using the confessions of the plotters- a mixture of documentary and reconstruction.,59,27,6.9
My Worst Best Friend,2015,Comedy,male-nudity|male-frontal-nudity|male-rear-nudity|nudity|sex|punched-in-the-face|hit-by-a-car|pubic-hair|male-pubic-hair|gym|disco|uninvited-guest|sex-orgy|female-rear-nudity|seduction|average-man|doll|wedding|talking-to-a-doll,After 15 years of friendship and peacefull life together Volfgang finally decides to marry Jana but suddenly old friend of Jana arrives - alive doll named Bella who isn't good girl and who doesn't want to give Jana away to Volfgang without fight.,87,27,4.3
Snow Dragon,2013,Family|Fantasy,bare-breasts|horse|talking-after-sex|female-nudity,"A fairy tale about a princess who is growing up without her mother. He father the king, a kind and righteous man, loves her dearly, but is determined to marry her off at all costs: no-one knows why he's in such a hurry. He organizes a grand ball in the chateau, at which a number of princes curry for her favor. But the one whom the princess chooses herself is not at all to the liking of her Dad - for reasons which nobody understands. It's not until later that we learn about the ancient curse, the Queen of the Witch Realm, and the Snow Dragon. For the curse to be annulled, the princess and her intended have to undertake a difficult and dangerous journey during which they are confronted with many obstacles, to find out at its end that only true love can triumph over evil.",90,27,5.0
Murder on the Victorian Railway,2013,Documentary,reenactment,"Mixing narration with 'talking heads' portrayals of eye witnesses this tells how,in July 1864,elderly banker Thomas Briggs is found dying on railway lines near Hackney. He had been hit on the head,robbed and his body thrown from the carriage - making him the first ever murder victim on a train. As a result national panic ensues regarding the safety of rail travel. In response to an offer of a reward by Inspector Tanner cab-driver Jonathan Matthews identifies a hat found at the murder scene as belonging to young German tailor Franz Muller who has left the country to emigrate to America. Tanner follows and arrests him,returning him to London for trial. A group of wealthy German radicals pay for him to be defended by top lawyer John Parry,who does his best to discredit Matthews,a known liar and felon. He also produces an alibi in the form of Muller's girl-friend but,as she is a prostitute,it fails to impress the jury and Muller is publicly hanged. Frederick Wicks,a journalist interested in the case,expresses doubt as to the young man's guilt and the case itself leads to changes in criminal procedures.",55,27,7.9
